,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
1558,1624445089735,-91,1,0,0, null, {},-2147483648,26,18680125e9415cff34132fa93eacfe2f9d4b783aa5c947b8d316a853
1559,1624445089737,-84,1,0,0, null, {6=[B@b70e6a4},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1560,1624445089769,-82,1,0,0, null, {76=[B@54ba9d3},12,26,1fc48b4b1f128045cf9d6c789059bdc31dadec2c09ae83c0bab68816
1561,1624445089772,-86,1,0,0, null, {6=[B@2412e0e},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1562,1624445089784,-91,1,0,0, null, {6=[B@9c1ffc5},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1563,1624445089818,-87,1,0,0, null, {76=[B@833aa28},12,26,b1103ac588a08cec99d03ba7bc6592c37dc934a2a113759c684e4713
1564,1624445089842,-82,1,0,0, null, {6=[B@a08d627},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1565,1624445089856,-82,1,0,0, null, {76=[B@d933572},6,26,11d817f9bcd4e954ea1c62fa828300623a848702b384808d35551603
1566,1624445089881,-88,1,0,0, null, {6=[B@402a979},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1567,1624445089931,-67,1,0,0, null, {},-2147483648,-1,9e4dbc536c15183cf4dd6dc4f4da462599a6785861ee83c097db1654
1568,1624445089945,-72,1,0,0, null, {6=[B@a1000ca},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1569,1624445089978,-84,1,0,0, null, {6=[B@78b0eb1},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1570,1624445089987,-93,1,0,0, null, {6=[B@78c8704},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1571,1624445089996,-85,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1572,1624445090001,-89,1,0,0, null, {},-2147483648,26,18680125e9415cff34132fa93eacfe2f9d4b783aa5c947b8d316a853
1573,1624445090037,-90,1,0,0, null, {76=[B@406520f},12,26,1fc48b4b1f128045cf9d6c789059bdc31dadec2c09ae83c0bab68816
1574,1624445090050,-92,1,0,0, null, {6=[B@512307a},-2147483648,-1,dae7e895480c2e7dc3d7a880a06e9d91e0310f03edd75827f6834658
1575,1624445090055,-82,1,0,0, null, {6=[B@40c0621},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1576,1624445090082,-80,1,0,0, null, {6=[B@621b934},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1577,1624445090092,-84,1,0,0, null, {76=[B@f4249a3},12,26,b1103ac588a08cec99d03ba7bc6592c37dc934a2a113759c684e4713
1578,1624445090095,-95,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1579,1624445090096,-91,1,0,0, null, {6=[B@5aefacc},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1580,1624445094054,-88,1,0,0, null, {6=[B@d31b991},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1581,1624445094057,-84,1,0,0, null, {6=[B@b3fd764},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1582,1624445094072,-84,1,0,0, null, {},-2147483648,26,4b843730951ab941991004acd73b5195f40ddae395aa7b4b239e15c9
1583,1624445094164,-91,1,0,0, null, {6=[B@25909c9},-2147483648,-1,cb4ed57c149a3a5527a941d88e96517419bafea8650fbf81e9f56642
1584,1624445094168,-91,1,0,0, null, {6=[B@a4caefc},-2147483648,-1,06d4c717c07a4da1387853ea52fba9970b9fb88c9008faa95ea5f974
1585,1624445094171,-96,1,0,0, null, {},-2147483648,26,cca5959353235e52600fb9a75398ee2a0affba9da7633ecfb6015423
1586,1624445094191,-97,1,0,0, null, {6=[B@3a32901},-2147483648,-1,686c97d0ffc7a962fb0c670076867a2c7d9bead07f24527084df2eef
1587,1624445105691,-81,1,0,0, null, {76=[B@f5d8300},-2147483648,26,e3c9bb07e3a79ed6fef6be86248a5e5cb2c01391b3e18c9dab6dbdf4
1588,1624445105823,-88,1,0,0, null, {76=[B@755c6df},7,26,2e09ab63278b3c175aea242543eb72f7b52eb6799556dca8da0b0ce9
1589,1624445105882,-85,1,0,0, null, {76=[B@f98878a},-2147483648,26,e3c9bb07e3a79ed6fef6be86248a5e5cb2c01391b3e18c9dab6dbdf4
1590,1624445105903,-85,1,0,0, null, {76=[B@fc75471},-2147483648,-1,d8beb822874320f043f63a2042af2d8f9454f0168ad848e3c0198a3f
1591,1624445105905,-85,1,0,0, null, {76=[B@c22d7c4},12,26,3142a6c30af48458e025bc9b03e58981a190c7700ff57fdc65c4dbc6
1592,1624445105953,-92,1,0,0, null, {76=[B@ccea573},-2147483648,-1,b24e83f32dc2fcf9160f4a67c7734590cb314c6b8548b6bc5bd34099
