,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
123,1623670635093,133.9234952033284,298.26294,1.1830406,3.0,20.275
124,1623670640105,133.9093120692697,274.2261,0.988508,3.0,9.302
125,1623670645139,133.91563157932922,261.00012,0.9340932,3.0,8.54
126,1623670650932,134.16432869475688,257.2625,0.78272456,3.0,8.659
127,1623670656490,134.21318702358846,245.31674,1.0640453,3.0,6.804
128,1623670662010,134.5193754420562,266.36276,1.0794866,3.0,5.976
129,1623670667647,134.50594563386184,295.06595,0.98249537,3.0,5.946
130,1623670673139,134.53370370449335,317.79196,1.0634367,3.0,5.555
131,1623670678986,134.68199936572088,309.77585,1.2032337,3.0,6.806
132,1623670684498,134.6348335380554,331.2202,1.1344424,3.0,10.251
133,1623670689949,134.6432195545108,331.892,1.0932566,3.0,5.551
134,1623670695122,135.0817715840562,327.90195,1.275652,3.0,6.141
135,1623670700371,135.19274007874063,321.8647,1.2494794,3.0,7.968
136,1623670705948,135.0950589446211,318.88022,1.2340729,3.0,10.053
137,1623670711066,135.0514137273756,325.78073,1.2879145,3.0,10.721
138,1623670717018,134.95549519604407,334.09537,1.2939115,3.0,10.15
139,1623670722099,134.90474889003596,333.79193,1.2809452,3.0,6.402
140,1623670727128,134.86578325071292,333.4651,1.3309951,3.0,16.783
141,1623670732635,134.91297187881491,333.4347,1.3969952,3.0,16.098
142,1623670737836,135.00810492005382,324.93777,1.2646158,3.0,12.753
143,1623670743134,135.07335670752744,323.8231,1.2015703,3.0,5.718
144,1623670748141,135.05197699959635,325.26093,1.126751,3.0,5.808
145,1623670753329,134.9603276748979,325.80054,1.2653524,3.0,5.652
146,1623670758807,135.00313750069972,324.71832,1.1391144,3.0,5.439
147,1623670764113,134.95890545403304,309.33612,1.2896874,3.0,5.614
148,1623670769103,134.9932653450832,280.549,1.2077246,3.0,15.63
149,1623670774123,135.00194813174383,281.23828,0.9379303,3.0,17.109
150,1623670779395,134.98919827670477,299.5274,0.9838788,3.0,5.473
151,1623670784891,135.0178515001139,344.71695,0.79473776,3.0,5.568
152,1623670790713,136.25481467342678,5.647077,0.70457953,3.0,5.413
153,1623670796093,136.44313774762617,334.32492,0.48284438,3.0,5.633
154,1623670802075,136.211572249081,335.87515,0.24487999,3.0,5.085
155,1623670807084,136.29567323039532,338.33325,0.21577816,3.0,4.572
156,1623670813089,136.33467837445357,43.67175,0.5474053,3.0,5.142
157,1623670819126,136.19678601687627,0.0,0.23094162,3.0,7.599
158,1623670824722,136.25079990827186,359.53342,1.3126994,3.0,5.881
159,1623670829936,136.2622705773086,40.72405,1.446136,3.0,17.528
160,1623670835048,136.2697388078004,59.255733,1.3919626,3.0,12.141
161,1623670840462,136.15295758262408,55.82052,0.86731285,3.0,6.61
162,1623670845952,136.096093671882,51.455006,1.1819643,3.0,7.015
163,1623670851291,135.85271921521533,46.76061,1.1358964,3.0,7.945
164,1623670856639,135.92955461162396,13.293222,1.1255972,3.0,11.286
165,1623670862075,135.77440714608076,332.5753,1.2853489,3.0,12.266
166,1623670867475,135.77599019364672,333.40186,1.373925,3.0,19.418
167,1623670872488,135.81601179130033,86.358284,0.99943525,3.0,13.695
168,1623670877719,135.81873327040995,60.34316,0.9128998,3.0,5.268
169,1623670883133,136.3682982500229,49.899483,0.31486127,3.0,5.908
170,1623670888506,136.3113891058022,42.97895,0.9632664,3.0,6.523
171,1623670893904,135.80892155563924,23.914457,0.80206764,3.0,7.128
172,1623670899449,135.90074529264763,22.246496,1.0039854,3.0,9.934
173,1623670904998,136.05671208988267,22.465395,0.79662013,3.0,11.005
174,1623670910408,136.07071611831614,338.0747,1.0165482,3.0,10.5
175,1623670916011,135.92774029864634,333.20483,1.361791,3.0,10.769
176,1623670921684,135.75161240887755,14.233612,1.0881006,3.0,18.485
177,1623670927046,136.00439759069062,14.289286,0.8000575,3.0,11.501
178,1623670932086,136.12840897320766,353.20148,1.1410247,3.0,9.766
179,1623670937768,137.5427834848625,352.03552,0.8577817,3.0,7.955
180,1623670942999,137.43524876515798,3.9160292,0.8798153,3.0,5.511
181,1623670948094,138.1094866592285,8.825417,0.96910816,3.0,5.6
182,1623670953090,138.0646237202787,4.032616,1.0637567,3.0,7.131
183,1623670958583,138.33046983906942,4.303635,0.99035156,3.0,7.415
184,1623670963631,138.28517214370848,3.723758,1.1017299,3.0,5.33
185,1623670968870,138.20678281709712,351.01685,1.3184062,3.0,13.088
186,1623670974104,138.3408532734938,347.0453,1.3524193,3.0,6.211
187,1623670980101,141.1138445005872,8.484024,1.310646,3.0,4.861
188,1623670985751,141.0680478409706,2.0249388,1.1505569,3.0,4.932
189,1623670991085,141.08799766926185,345.76212,0.28913352,3.0,5.256
190,1623670996254,141.0547495177524,18.499834,1.0674495,3.0,5.493
191,1623671001839,140.99008762765362,355.42322,0.9906917,3.0,6.14
192,1623671007049,141.05732324562416,1.6238647,0.753292,3.0,6.536
193,1623671012087,140.3497269483802,1.9588832,1.1777976,3.0,6.631
194,1623671017161,140.27749569314443,345.36267,1.0525734,3.0,8.63
195,1623671023098,139.69772333266943,335.14835,0.8338056,3.0,8.987
196,1623671053218,139.55553265852802,0.0,0.0,3.0,3.5
197,1623671059042,139.49358804410355,0.0,0.28239438,3.0,13.625
198,1623671064083,139.46771192674257,9.202803,0.070998915,3.0,4.583
199,1623671069111,139.42138236933403,172.45879,0.24197033,3.0,6.237
200,1623671075033,139.3367976034573,180.0,0.00997503,3.0,4.1
201,1623671080034,139.33449043598242,0.0,0.0005856817,3.0,6.731
202,1623671085037,139.3120116502551,180.0,1.6883847e-05,3.0,3.8
203,1623671090040,139.2333280581742,0.0,2.313909e-07,3.0,3.738
204,1623671095041,139.20791359579982,180.0,4.6431836e-09,3.0,3.9
205,1623671101027,139.18139772305858,0.0,2.6314726e-11,3.0,4.086
206,1623671106082,139.18338758301795,2.235584,0.2233158,3.0,4.0
207,1623671112096,139.32036393514716,0.0,0.0029998878,3.0,4.211
208,1623671118100,139.2787076639865,0.0,9.815714e-06,3.0,4.0
209,1623671124112,139.1994620752699,180.0,9.8892855e-08,3.0,4.1
210,1623671129580,139.10521835315558,180.0,2.4933891e-08,3.0,7.585
211,1623671135040,139.0749989701273,0.0,4.2505507e-10,3.0,4.0
212,1623671141032,139.107807701916,180.0,8.299301e-12,3.0,8.356
213,1623671146041,139.1870861300344,0.0,3.1068743e-13,3.0,3.8
214,1623671151053,139.33341049087394,180.0,7.6906755e-15,3.0,7.106
215,1623671157038,139.34750694289244,0.0,1.2051103000000002e-16,3.0,3.3
